Timestamp	What is your gender?	What year of university are you in?	What course are you doing? (best fit)	What country are you from?	If Ireland or Northern Ireland, what county?	How far is your commute to UCD?	What sports clubs are you interested in joining?	What Societies are you joining/interested in joining?
14/09/2024 13:58:57	Male	4th	Business	Ireland	Wicklow	Less than 15 minutes	Soccer	Data Society, Economics Society, History Society, Law Society, Mathematical Society
15/09/2024 15:14:31	Male	Masters Student	Science, Computer Science & Actuarial Science	Ireland	Limerick	30 minutes - 1 hour	Volleyball	Dance Society, Data Society, Dramsoc, French Society, Games Society, LGBTQ+ Society, Mathematical Society, Musical Society, Politics and International Relations Society, Science Society, Scientific (Physics) Society
15/09/2024 15:19:29	Male	4th	Science, Computer Science & Actuarial Science	Ireland	Dublin	15-30 minutes	Gaelic Football, Golf, Rugby, Snowsports, Soccer, Surf	Data Society, International Students Society, Kevin Barry Cumann, Labour Society, Newman Society, Psychology Society
15/09/2024 15:21:21	Female	1st	Social Sciences	India	Dublin	Less than 15 minutes	None	Belfield FM Society, Data Society, Dramsoc, English & Literary Society, Erasmus Society, Film Society, Games Society, Horticulture Society, Indian Society, International Students Society, Investors & Entrepreneurs Society, Philosophy Society, Psychology Society, TV Society, Women+ in STEM Society, Volunteers Overseas Student Society
15/09/2024 15:24:07	Male	4th	Science, Computer Science & Actuarial Science	Ireland	Kildare	15-30 minutes	Badminton, Basketball, Cycling, Golf, Mountaineering, Rugby, Snowsports, Soccer, Sub Aqua, Surf, Table Tennis, Ultimate Frisbee, Windsurfing	Actuarial & Financial Society, Commerce & Economics Society, Data Society, DJ Society, History Society, Internet Society, Investors & Entrepreneurs Society, Mathematical Society, St Vincent de Paul Society
15/09/2024 15:33:34	Female	3rd	Arts & Humanities	United States	Dublin	15-30 minutes	Equestrian, Volleyball	DJ Society, Dramsoc, Draw Society, Film Society, International Students Society, Nordic Society
15/09/2024 15:33:59	Male	Masters Student	Science, Computer Science & Actuarial Science	India	Dublin	Less than 15 minutes	Badminton, Basketball, Boat, Canoe, Cycling, Fencing	Belfield FM Society, Data Society, Dramsoc, Games Society, Indian Society, International Students Society, Mature Students Society, Music Society, Musical Society
15/09/2024 15:54:36	Male	1st	Sustainability	United States		Less than 15 minutes	Mountaineering	Geography Society, International Students Society, LGBTQ+ Society, Sustainability Society
15/09/2024 16:18:17	Male	Masters Student	Science, Computer Science & Actuarial Science	India	Dublin	Less than 15 minutes	American Football, Badminton, Cricket, Golf, Rugby	Data Society, Indian Society, Science Society
15/09/2024 16:20:16	Female	4th	Science, Computer Science & Actuarial Science	Ireland	Wexford	Less than 15 minutes	Gaelic Football, Snowsports	Data Society, Food Society, Science Society, Women+ in STEM Society
